title,company,postion,from,skill,link,salay,requirements
Senior Software Engineer - VoIP,Bevatel ,"Dokki, Giza, Egypt",1 month ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · PHP · Linux · Asterisk · Docker · Git · Python · VOIP · SIP,https://wuzzuf.net/jobs/p/ykPxK7nDYEQH-Senior-Software-Engineer---VoIP-Bevatel-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|navbl,,
Senior GIS Developer,RTR Software Solutions  ,"Nasr City, Cairo, Egypt",1 month ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · GIS · Development · Information Technology (IT) · Python · Java · .Net Framework · GIS Analysis · Arc GIS · openlayers,https://wuzzuf.net/jobs/p/0TGSH2sk5P4Z-Senior-GIS-Developer-RTR-Software-Solutions-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|navbl,,
Regular/Senior C++ Developer,Luxoft (A DXC Technology Company) ,"Cairo, Egypt",1 month ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · C++ · Python · Software Development · Software · Programming,https://wuzzuf.net/jobs/p/Ay20zZ2MDsyT-RegularSenior-C-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|navbl,,
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen ,"Zamalek, Cairo, Egypt",1 month ago,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,https://wuzzuf.net/jobs/p/DJ5VofdSWmu7-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|navbl,,
"Data Scientist ""Senior/Lead""",Confidential ,"New Cairo, Cairo, Egypt",1 month ago,Experienced · 2 - 10 Yrs of Exp · R&D/Science · IT/Software Development · Algorithms · Computer Science · Data Science · Information Technology (IT) · Python · Spark · Statistics · Machine Learning,https://wuzzuf.net/jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|navbl,,
Sr. DevOps Engineer,Devexy ,"Heliopolis, Cairo, Egypt",1 month ago,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Kubernetes · Docker · Linux · Python · JavaScript · AWS · Azure · Oracle cloud · SQL Server,https://wuzzuf.net/jobs/p/k0rlz9Rc4rgh-Sr-DevOps-Engineer-Devexy-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack Developer,Trufla ,"Heliopolis, Cairo, Egypt",2 months ago,Experienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · AWS · Computer Science · front-end · Information Technology (IT) · Java · JavaScript · Laravel,https://wuzzuf.net/jobs/p/hh4PopoV8Ey5-Senior-Full-Stack-Developer-Trufla-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|navbl,,
Sr. BI & Reporting Specialist,Masary ,"Mokattam, Cairo, Egypt",1 month ago,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Business Development · Engineering - Telecom/Technology · Power BI · OBIEE · MS Office · Banking Sector · Computer Science · Information Technology (IT) · English,https://wuzzuf.net/jobs/p/AsscYIsFGKxR-Sr-BI-Reporting-Specialist-Masary-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|navbl,,
ERPNext Specialist/Data Analyst,Confidential ,"Alexandria, Egypt",2 months ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Business Intelligence · BI · Data Analyst · Data Mining · Power BI · Data Analysis · ERPNext · ERP Implementation · Technical Support,https://wuzzuf.net/jobs/p/sQk7nEB7BSrD-ERPNext-SpecialistData-Analyst-Alexandria-Egypt?o=65&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,National Technology ,"Nasr City, Cairo, Egypt",2 months ago,Entry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python · Telecom Engineering,https://wuzzuf.net/jobs/p/X9NYZLbCDGDo-Odoo-Developer-National-Technology-Cairo-Egypt?o=66&l=sp&t=sj&a=python|search-v3|navbl,,
